propietario,owner_name,pasillo_objetivo_1,pasillo_objetivo_2,num_pasillos_objetivo,pasillos_objetivo,bloques_discontinuos_objetivo,amplitud_pasillos_objetivo,picks_2026,lineas_2026,criterio_asignacion,justificacion
3,ALHAMBRA,6,7,2,"6,7",1,1,130,405,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=845 ubicaciones; picks_2026=130; lineas_2026=405
4,NOMBRE,6,,1,6,1,0,147,373,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=387 ubicaciones; picks_2026=147; lineas_2026=373
23,MAHOU-MARKETING OCIO,7,8,2,"7,8",1,1,108,428,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=383 ubicaciones; picks_2026=108; lineas_2026=428
29,MAHOU FUTBOL,8,,1,8,1,0,82,188,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=114 ubicaciones; picks_2026=82; lineas_2026=188
30,EVENTOS COMERCIALES,8,,1,8,1,0,68,351,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=103 ubicaciones; picks_2026=68; lineas_2026=351
96,NOMBRE,8,9,2,"8,9",1,1,55,190,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=317 ubicaciones; picks_2026=55; lineas_2026=190
5,NOMBRE,9,10,2,"9,10",1,1,42,110,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=326 ubicaciones; picks_2026=42; lineas_2026=110
6,CRAFT,9,,1,9,1,0,48,121,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=64 ubicaciones; picks_2026=48; lineas_2026=121
95,INNOVACION,9,,1,9,1,0,45,243,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=163 ubicaciones; picks_2026=45; lineas_2026=243
34,CUENTAS NACIONALES,10,11,2,"10,11",1,1,9,20,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=194 ubicaciones; picks_2026=9; lineas_2026=20
61,MAHOU CORPORATIVO,10,,1,10,1,0,9,29,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=35 ubicaciones; picks_2026=9; lineas_2026=29
62,MAHOU JOVEN,10,,1,10,1,0,34,78,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=86 ubicaciones; picks_2026=34; lineas_2026=78
82,BRUTUS DESARROLLO COMERCIAL,10,,1,10,1,0,37,836,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=168 ubicaciones; picks_2026=37; lineas_2026=836
89,BRAND MANAGEMENT MERCADO,10,,1,10,1,0,27,64,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=54 ubicaciones; picks_2026=27; lineas_2026=64
90,HUB CONTENIDO & ACTIVACIÓN,10,,1,10,1,0,18,30,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=25 ubicaciones; picks_2026=18; lineas_2026=30
24,MCC MADRID,11,12,2,"11,12",1,1,5,7,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=426 ubicaciones; picks_2026=5; lineas_2026=7
79,NOMBRE,11,,1,11,1,0,8,10,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=23 ubicaciones; picks_2026=8; lineas_2026=10
98,MAHOU CANAL,11,,1,11,1,0,6,12,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=70 ubicaciones; picks_2026=6; lineas_2026=12
